year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
2007,CAF,74.6544233572477,49.457,1.16894435342152,94.2951021213757,68.856,93.1261577679541,5.7048978786243,47.3991092172002,3408.01150189532,6.5629837656856,18.7825928770667,53.289,56.253,54.781,66.582,79.216,72.897,83.0799677305501,79.332,72.626,1774213.0,8.688,,9.719,35.978,22.47,29.179,4.467,,5.191
2007,CAN,1.95753425728379,60.492,5.00602645618608,15.3776169049986,62.978,10.3715904488125,84.6223830950014,0.172157164418459,102903.46351729,21.7531877390931,76.2892837941167,67.626,68.329,67.986,74.095,82.634,78.385,85.0508082504888,72.626,67.109,18289463.0,12.145,11.026,11.022,12.303,11.598,11.942,6.478,6.156,6.156
2007,CEB,13.6737420873881,25.3898926265343,3.36418249408215,21.2444331040679,49.9032471856874,17.8802506148686,78.7555691268971,4.35247051676787,64364.5871155994,33.0262280203925,53.3000298922195,27.0193241686609,35.2703391233141,31.2258795536844,57.1911449676832,70.8347991291665,63.9589385250273,75.1096591603446,62.2633768178259,54.1281146364055,48330518.0,18.0512155903795,18.6479978186714,18.7155694643577,14.3310032714533,11.9875523051181,13.1364689090895,7.47886733964571,7.80513723734556,7.80513723734556
2007,CHE,3.89954897631173,62.603,3.77836619767211,16.148895201731,65.153,12.3705290040589,83.851104798269,2.35826605912929,134953.358575514,22.6951281436756,73.4053228800127,64.468,70.178,67.375,74.999,88.192,81.62,79.1926983581873,75.709,67.615,4307426.0,6.811,7.085,7.083,7.854,7.859,7.857,2.916,3.641,3.641
2007,CHI,3.30205971405684,43.473,4.92050345548601,16.4003204301367,56.754,11.4784592198341,83.5983218150466,1.44329337008323,,22.0377184288061,74.660221857137,46.819,51.633,49.258,64.502,80.207,72.33,76.3790830525853,68.27,60.003,78119.0,11.097,,11.745,12.025,7.908,9.939,4.97,,5.414
2007,CHL,11.5025328582511,29.105,3.11275201698797,23.2572623792197,52.515,20.1445103622317,76.7427228022444,0.74433505895184,56546.5221967236,23.0279307174172,65.4695216057958,29.807,44.206,37.142,47.257,78.119,62.711,57.9522221764843,72.879,57.348,7369317.0,18.243,21.535,21.64,25.748,15.139,20.343,6.958,8.427,8.427
2007,CHN,40.8000422770903,54.443,4.09212015498442,55.3802673004206,68.824,51.2881471454361,44.6197328351628,17.6042745872828,14116.5547258936,26.7999628550146,32.3999948678951,58.256,61.552,59.976,71.109,83.843,77.609,82.4653813446381,78.787,71.954,766486940.0,10.164,,9.224,20.181,13.398,16.641,4.814,4.0,4.35
2007,CIV,49.7429202682539,46.853,0.855041885709079,81.1069176203419,62.354,80.2518757346329,18.8930823796581,23.6199350758361,11956.8514656162,11.0180886163523,39.2389769007063,46.852,55.498,51.173,58.455,76.172,67.352,76.0039708802118,75.55,66.527,7505748.0,8.721,,8.441,29.274,15.305,22.294,6.201,,6.272
2007,CMR,59.8273541334664,64.136,2.42085194450688,81.6870914284069,79.224,79.2662394838999,18.3129085715931,24.812529397956,9681.80453641262,11.1688857954936,29.0037600710401,65.181,69.235,67.212,79.022,85.93,82.461,91.4066340504225,85.438,81.727,8274850.0,4.15,4.593,4.576,17.324,6.18,11.741,2.646,3.063,3.063
2007,COD,69.9858788633642,39.982,1.59349909619181,87.9584322739925,68.38,86.3649331778007,12.0415677260075,25.1792541364473,2617.30697943909,8.07887303296959,21.935252435569,47.242,37.773,42.509,69.764,72.81,71.267,94.6504885053523,72.773,70.789,23897816.0,7.648,,5.944,24.269,14.612,19.442,4.135,,3.403
2007,COG,38.3457209631772,24.813,1.11644684084236,77.930906980445,54.284,76.8145381473472,22.069093019555,5.77483532565113,22902.0786387898,23.5641114449843,38.0901675918385,43.574,39.933,41.745,67.94,69.416,68.677,97.6349134599962,68.581,67.765,1600292.0,41.832,,40.56,33.269,26.616,29.928,18.629,,19.894
2007,COL,18.3785829968944,37.975,4.53442515812265,45.7252806450772,56.729,41.1908554869546,54.2747251201414,3.85705809195708,33197.4444827689,20.2076793173243,61.4137434509999,39.341,58.052,48.808,53.36,81.235,67.117,63.755341539639,78.395,63.887,19533984.0,17.859,22.196,22.195,36.615,17.008,26.695,8.77,11.204,11.204
2007,COM,51.0038132096412,13.871,3.16510628610455,66.9531316695598,40.411,63.7873139637461,33.0468683304402,10.2245240602146,13469.7662093793,15.4342505904784,33.5619361998805,14.367,16.428,15.375,33.71,52.99,43.045,62.1146380452158,52.548,42.297,147125.0,10.708,,9.788,33.549,22.542,28.165,4.208,,4.46
2007,CPV,22.5513713843303,31.396,5.43286499384432,48.3043318229702,48.868,42.8708322227723,51.6956681770298,17.9790326060745,21309.8413914146,21.6172308317151,55.8313977839546,33.817,49.215,41.838,50.756,67.792,59.348,72.0050556579208,65.669,56.38,181799.0,24.293,,24.959,35.144,34.74,34.933,13.166,,13.323
2007,CRI,13.266662748605,45.726,3.53440931778604,23.3978701628484,58.629,19.8635137918418,76.6021298371516,1.66491148092672,41150.8181889911,22.2552257147683,64.4781115366267,38.997,63.393,51.416,48.498,83.856,65.964,55.8962323668206,79.254,61.428,1978866.0,8.561,10.724,11.067,26.555,8.712,17.472,3.218,4.557,4.557
2007,CSS,12.032918574433,37.0446637918255,3.45669697534938,25.2309106532589,55.0217900804541,21.7741090928492,74.7691939346717,2.84591184421602,47408.3153557113,20.4565021753176,67.5105792509471,36.3538090213511,57.7845736953305,47.1555306619665,52.8490188636266,78.6348457678938,65.6902387573617,66.8139043778308,73.856234471771,61.0534463617264,1060963.0,17.229949314261,,21.2432245508195,35.4295120293864,22.0245974993385,28.6731927387308,8.12467603124507,,9.8796533888049
2007,CUB,18.7419123343993,37.011,2.17480134448128,11.9091054562199,53.267,9.73432452225114,88.0908945437802,1.00699345802252,,18.0310958240908,63.2269918415099,31.466,45.237,38.539,47.859,76.937,62.384,60.2514406991997,67.849,54.237,4988644.0,4.321,,3.966,17.65,7.978,12.682,1.737,1.788,1.788
2007,CYM,,,,,,,,,,,,,,,,,,,,,,,11.13,,,,,,3.83,
2007,CYP,4.38504653327999,38.019,6.09213925958055,20.3448959217478,61.304,14.2527566621673,79.6552910339773,1.70971010645259,62857.5622253807,22.5193779609113,73.0955755058087,39.825,43.888,42.004,64.323,78.974,71.815,77.6035210384835,71.797,63.823,556863.0,9.688,10.288,9.486,9.672,8.41,8.995,3.425,3.946,3.946
2007,CZE,3.3816441773922,28.496,3.73820651415705,16.1744738353324,55.65,12.4362673211754,83.8255464423255,0.604781147293663,83070.9511476859,40.6374200654725,55.9809357571353,26.867,36.721,31.923,61.417,78.085,69.816,72.7967106129556,68.341,58.775,5188948.0,10.572,10.739,10.734,9.31,5.008,7.103,4.22,5.316,5.316
2007,DEU,2.2585286352828,45.312,5.01831999051166,11.8503563127469,53.907,6.83203632223521,88.1496436872531,1.02563615547304,118490.51085301,29.8965119027746,67.8449594619427,49.428,53.279,51.388,69.936,81.811,75.917,78.6508390828839,66.382,59.065,41795078.0,12.726,11.815,11.824,9.724,9.215,9.465,8.698,8.732,8.732
2007,DJI,1.93481490197232,6.211,21.2153079083996,54.8028415525584,24.954,33.5875336441588,45.1978938388904,2.25397479078113,,4.65723404568252,93.4079510523452,14.609,24.216,19.439,17.718,52.688,35.016,33.3587383478924,51.171,33.859,184506.0,67.297,,68.05,28.627,18.846,23.709,22.669,,26.3
2007,DNK,2.96382289397701,65.318,2.90265721441212,9.01188528935267,63.381,6.10922807494054,90.9881147106473,0.586942315268124,122165.674389443,23.5068039283613,73.5293731776617,69.138,72.019,70.61,76.373,83.666,80.053,85.5822784810127,71.1,65.886,2931561.0,7.603,7.524,7.495,3.844,4.787,4.326,3.449,3.801,3.801
2007,DOM,12.8538849858528,36.437,4.11762085481041,44.8976500832738,54.259,40.7800292284634,55.1023499167262,2.32129180036701,37139.9171924864,22.4731246147059,64.6729903994413,28.965,53.847,41.56,42.989,76.707,59.824,54.0785498489426,74.475,57.21,3668718.0,8.561,12.49,12.326,32.324,19.489,25.827,3.823,5.158,5.158
2007,DZA,16.3268616958602,22.034,4.62456458385519,32.5335721012478,37.226,27.9090075173927,67.4664388087032,3.81308242773467,52648.9839387979,28.7854475218265,54.8876907823133,9.2,50.51,30.576,14.502,75.553,45.947,18.9546696559938,71.365,43.181,10632096.0,27.003,27.41,27.937,42.146,14.945,28.071,12.853,13.79,13.79
2007,EAP,41.4760189522026,51.6852981103093,3.87376090891941,57.3956857215692,67.794895535752,53.5219248126514,42.6043142778424,18.4985326300918,15182.0403590972,24.4999028334869,34.024078607851,53.8791527537012,60.7781425433559,57.4518229888165,67.6695551245333,83.5083966396588,75.6991794517167,79.2433836385208,79.2414383464869,70.880946379912,1062688432.0,10.6231052110885,,10.2812869742989,22.7519609052056,14.1066303820523,18.2746932390185,4.59964058948756,4.2068039616887,4.35381700814466
2007,EAR,43.5536186988074,36.3658612340386,2.67577739391028,66.4210039838105,54.0086421449186,63.7452264934801,33.5789963129712,17.2131794844277,20585.2250080856,19.8430805194987,36.6033008781227,28.2365039431901,57.9622627408455,43.5293012226732,38.2766925110326,81.4635496240169,60.2473730015998,47.5225299074952,79.0826382424391,57.9750230271772,1094176973.0,16.7025755180686,,17.4687111182743,45.0261426338104,13.1012636971392,28.6022341818406,6.37354815187931,,6.84170820607528
2007,EAS,37.6510099919551,50.6194928817237,3.89175042083481,53.3263988789711,66.7253772544149,49.4346481070102,46.6736010324865,16.9897174558062,22682.1154400783,24.7956963067835,37.5532938773662,53.0348462961893,59.1803772836802,56.217257904319,66.9181305788444,83.2825581743031,75.2134638767052,78.254285028033,78.4258746176048,69.71957320983,1185127908.0,10.5260446181998,,10.1500204847148,21.6702859350269,13.5740216672489,17.4774428964345,4.52426414003482,4.15970956590431,4.2946239136738
2007,ECA,25.0887026153403,32.5220390456138,4.50047215071469,35.4601167971487,50.1506594419845,30.959647024913,64.5398875149764,8.43280143348548,41007.5422841726,24.1906283194508,50.7206723209698,31.3106246909368,45.5915631478448,38.5478085009057,49.9806437271515,72.8316315180235,61.2076564022234,67.663119379869,67.135520697257,54.839803257304,93736366.0,15.8811709135119,,16.0753361229455,34.0861479950965,19.1618931454891,26.5228158614702,8.60916232200839,8.41649378189421,8.55021046052096
2007,ECS,10.4416319096787,35.1622226479285,3.94364487547239,18.8890643847561,53.3213023669015,14.9454190027186,81.1109376084103,2.95507385360906,84379.9706531789,26.9598727341283,62.5984971135999,37.0212894102882,45.8856352929632,41.5206118804507,61.0391204428002,76.29243693396,68.5744222789144,75.291481778269,66.3701080720193,57.4778248822841,415771053.0,15.614442041962,16.8976057993267,15.9635894542097,20.4169846955667,13.3752209696047,16.8425746920853,6.99882981692748,7.20054455273956,7.23133641607482
2007,ECU,28.4873355578556,47.325,5.23325629780639,45.6206919623635,64.669,40.387451671385,54.3793080376365,10.4712826303188,25090.3559662392,18.6352610569565,52.877403385188,39.534,61.912,50.896,54.324,83.705,68.989,63.4406632721589,81.897,66.767,6449993.0,6.511,7.145,7.017,25.38,7.63,16.368,2.642,3.142,3.142
2007,EGY,31.7572272841169,25.278,14.1236783942456,41.4692648512795,43.712,27.3455823398499,58.5307351487205,14.0670588805887,40881.4377101201,22.1646004030064,46.0781764300606,19.816,46.962,33.739,24.75,74.691,50.156,32.3016631354465,72.213,47.93,26632069.0,17.318,24.8,25.076,44.721,15.655,29.813,5.777,8.8,8.8
2007,EMU,4.20723341189828,37.0484467243036,5.35319813000473,16.5266056533736,52.4146385480282,11.1734055189373,83.4733976811433,1.37845692131898,114979.403539101,27.6259341874624,68.1668350623035,40.5485737057375,46.8844896769641,43.7784414595663,63.4178168384676,78.3535139575141,70.8978203265072,75.2591525539341,65.1383863450014,56.6877876726704,161302394.0,15.3368206034232,16.3962525660274,16.3656832512088,11.8345413855548,10.2037593351341,11.0030993295107,6.69728715532893,7.53820766238468,7.53799190995893
2007,ERI,65.2149265250785,64.764,2.26981671396519,76.9684380560137,75.304,74.6986213420486,23.0315619439863,23.4461496955478,,8.4980243903272,26.286963708204,68.009,75.855,71.922,76.136,88.014,81.88,84.7168025121799,86.618,79.75,1240437.0,8.726,,9.953,30.668,14.958,22.834,4.79,,5.575
2007,ESP,4.51601342377278,39.233,5.49143637895858,17.5989251678536,53.533,12.1074839835008,82.4010748321464,1.08201140541108,99084.3001681466,29.1098386747453,66.3741527068762,43.549,52.004,47.896,61.827,81.362,71.752,70.9253740065451,68.448,58.335,22532489.0,15.233,18.089,18.087,12.348,9.435,10.85,6.417,8.232,8.232
2007,EST,4.77647765686923,34.148,3.15255718542705,7.8533237038071,57.735,4.70076651838005,92.1466762961929,0.219698854774202,73962.0785734489,35.127995824508,60.0955265186228,32.096,43.538,37.983,68.985,77.654,73.214,79.1420660152072,68.257,60.514,690796.0,12.149,10.096,10.097,10.062,8.76,9.392,5.381,4.592,4.592
2007,ETH,76.4666860257669,72.76,0.655325413133702,90.5948012583983,79.905,89.9394758452646,9.40519874160171,42.134357832814,2616.42916158433,7.56270063422343,15.9706133400097,70.72,79.875,75.374,76.436,89.866,83.108,83.3857659452984,89.321,81.826,36075624.0,2.558,,3.468,15.393,5.769,10.5,1.716,,2.347
2007,EUU,6.1405868917272,34.5747832240656,4.89000279641083,17.4210464832711,52.0776808235725,12.5310421364146,82.5789566126986,2.0141404500929,105327.019439216,28.4094734836375,65.4499411648335,37.8494140487998,44.3353532657211,41.1559781758841,62.293642910533,76.7692445422555,69.5325319551362,75.6125083127254,64.5726324790479,56.3019118332841,208453930.0,16.0741359337629,16.9978201261841,16.9933939867323,12.3585494479296,10.6241838952786,11.4743313590616,6.79000975151032,7.50288004324984,7.50271309325279
2007,FCS,50.7725284778367,49.0615005832524,6.17538287381026,74.5226805757926,63.7286247057607,68.3472980648849,25.4773198106385,22.6278475490244,12432.2926643163,13.119716570083,36.1077553149779,46.8933697388202,60.2360084419639,53.6297199976731,59.2128918644152,79.5714482838668,69.2978070484439,76.7424321769889,77.8330609027932,67.059405653444,289958396.0,10.0814757597345,,10.5265854878665,31.0340363710219,14.5330777354139,22.7029851235708,4.99211847354373,,4.96680136077522
2007,FIN,4.53696121685415,44.47,3.5558517543042,13.0499239346146,56.933,9.49411218314257,86.9500760653854,0.551399039051965,121184.985914385,25.7175408018888,69.7454979812571,53.59,52.847,53.21,73.737,76.974,75.373,88.0104390543445,65.14,61.122,2683761.0,16.276,16.509,16.426,8.564,6.212,7.362,6.539,6.854,6.854
2007,FJI,29.2281436124516,33.372,1.12604431529241,40.8800788749935,56.455,39.7543228454961,59.1202094108015,15.2967325687994,26015.0236629136,18.9008815779611,51.8709748095872,24.381,50.159,37.515,39.869,80.595,60.452,48.6581849453663,79.072,58.872,361730.0,8.583,,11.044,30.894,9.294,19.889,3.672,,4.106
2007,FRA,3.42680713044599,27.843,4.42208241585871,11.000029598548,51.574,6.57794347359806,88.999970401452,0.665448057107542,119244.035802509,23.1973056271142,73.3758835333486,31.447,37.774,34.649,65.086,74.436,69.709,81.618832634634,62.02,56.064,29271805.0,18.851,19.704,19.644,11.661,10.347,10.996,7.482,8.009,8.008
2007,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,
2007,GAB,37.2773369419273,12.822,2.06011046931028,35.7237635388091,39.51,33.6636530694988,64.2762364611909,1.46932607402181,80925.5540400229,10.535655049311,52.1870080087617,16.542,22.092,19.344,40.877,59.589,50.328,68.0117528425884,57.518,48.336,464689.0,28.894,,33.715,36.378,26.159,31.218,13.508,,18.261
2007,GBR,1.36521502282694,51.743,2.87668293845503,13.3710677055644,58.598,10.4943847671093,86.6289322944357,0.344761640210318,102828.645480649,22.1886512348811,76.446133742292,57.852,63.111,60.505,68.712,81.775,75.155,79.6401994075573,69.205,61.905,31168545.0,16.009,14.632,14.482,15.941,12.658,14.285,5.601,5.399,5.342
2007,GEO,53.4299350432895,21.468,1.13837536149626,63.302442858816,54.894,62.1640674973198,36.697557141184,28.3769493770102,23607.8677372337,10.3749988738434,36.1950660828671,24.312,38.336,31.178,59.383,77.346,67.713,75.0347326268762,73.418,63.3,1992462.0,27.783,31.51,31.145,38.513,23.499,31.162,13.923,13.28,13.28
2007,GHA,51.8374432576153,44.005,4.70893861107152,78.882040439235,68.515,74.1730915742878,21.1179698146407,10.3334970535488,9510.66630219715,14.4128682038594,33.7496987924011,48.031,49.709,48.879,70.695,76.068,73.368,91.9855394143994,75.239,72.191,10275619.0,9.617,,9.971,29.502,21.239,25.326,4.782,,5.092
2007,GIN,68.0941415518428,38.145,2.66609994440766,90.9613847029049,58.186,88.2952523620267,9.03864769356567,27.864366344473,8097.88597738653,5.61783957008588,26.2880512745419,44.057,37.212,40.626,59.201,66.513,62.697,86.4453392083872,65.815,61.131,3243009.0,6.68,,6.107,39.059,23.337,31.18,5.548,,4.818
2007,GMB,38.5649434603064,26.739,1.3155609586662,76.2924047701748,42.961,74.9768438115086,23.7075952298252,14.5674134537455,10934.0572657342,16.0248060669214,45.4100092624754,28.031,34.869,31.452,46.061,52.084,49.005,87.8581066546727,51.137,47.962,462839.0,11.844,,14.984,42.939,24.92,33.924,7.785,,10.428
2007,GNB,58.6574175007432,53.108,0.578931721335844,78.4960856208503,61.692,77.9171538995144,21.5039143791497,30.5868595778416,5776.68191337925,9.76692101872956,31.5756614805272,51.221,59.219,55.228,55.525,71.964,63.386,77.5384103850044,72.181,63.697,520952.0,3.929,,3.84,17.213,9.3,13.248,3.446,,3.149
2007,GNQ,53.6485990242424,26.675,9.53083195868477,80.0788649968815,54.198,70.5483244831225,19.9211350031185,5.70853175875355,107315.237326541,14.9283919817672,31.4233004389161,29.19,33.437,31.447,54.039,66.166,60.438,80.3948746380829,64.932,58.833,372458.0,13.854,,15.175,28.412,20.045,23.967,7.035,,7.877
2007,GRC,10.6128118957382,23.868,8.02113023778495,35.3374141531479,47.909,27.316283915363,64.6625858468521,6.35993840890559,102267.808006566,22.6658948950765,66.7213153610679,27.273,34.244,30.889,53.995,77.282,65.71,65.2665691317822,63.567,52.274,4926848.0,15.665,22.883,22.731,16.629,9.731,13.051,5.197,8.351,8.351
2007,GTM,33.500473267815,50.453,3.61774770853984,47.9962031013935,60.049,44.3784760776358,52.0037968986065,13.265336938553,27606.9368536428,22.542089394664,43.957437337521,33.626,72.076,53.071,43.059,83.716,63.045,50.582352656303,82.596,61.794,4974966.0,4.229,,4.933,44.042,6.837,25.227,2.614,,2.824
2007,GUM,0.364741641337386,35.824,3.00271956486962,11.8924972004479,53.003,8.88817789153735,88.1075027995521,1.01583746600544,,14.2217245240761,85.4135338345865,42.487,46.633,44.654,52.314,69.883,61.37,72.1890837332377,66.891,57.8,68168.0,15.719,,19.774,22.23,12.807,17.306,7.149,8.3,8.3
2007,GUY,22.7776467814195,38.289,5.80531454445905,38.207730028495,50.191,32.4028151339427,61.792269971505,7.09698304285446,28294.0542227708,23.23404697485,53.9883062437305,34.152,63.484,48.807,39.42,79.286,59.222,48.9527347454948,75.912,56.297,280661.0,18.009,,21.549,50.317,32.083,41.207,9.479,,10.846
2007,HKG,0.204570382244762,38.912,4.12755021765354,11.2976893836608,58.136,7.17011066240101,88.7023106163392,0.565454541308566,106931.63110983,15.4156623896055,84.3797387245434,44.47,40.92,42.748,61.195,80.221,70.042,75.167506585729,69.848,60.565,3626034.0,11.037,8.99,8.973,7.236,8.041,7.627,4.556,4.01,4.01
2007,HND,33.9924064420989,45.663,13.7843983113522,50.7635223513691,57.065,36.9791240400168,49.2364776486309,7.92491112576021,15919.5316709537,22.3290482234824,43.6785453344186,28.487,67.522,48.323,38.889,81.065,60.068,47.2194135490394,80.109,58.958,2777245.0,4.465,5.533,5.505,44.079,11.612,27.581,2.672,3.211,3.211
2007,HPC,65.6581268450471,51.4684348439853,2.21225439445171,82.673232505345,67.4208436816716,80.4609794976331,17.326767494658,27.948723247905,6516.60376599532,9.32063717457981,25.0212364426106,51.2639172762692,59.4279901411779,55.3536387571971,63.9851093183589,79.3371610294939,71.554698861463,82.2187952901327,78.7396582275501,70.6357689947383,226650361.0,8.00142967825423,,8.41918632698882,28.9240981341905,14.7309011416835,21.8143396353271,4.36568251386048,,4.5512927797348
2007,HRV,12.3541268342125,27.453,5.4393471700721,19.9012347100965,47.631,14.4618875400244,80.0987652899035,2.25190619888968,75842.6463468054,30.6429246043629,57.0029485614245,31.473,41.633,36.664,58.34,72.877,65.592,73.260162601626,61.5,52.87,1924883.0,22.111,25.18,25.123,13.347,12.405,12.866,8.751,9.909,9.909
2007,HTI,49.7683268374183,21.345,0.720439667427789,75.4908795572821,53.706,74.7704398898544,24.5091204427178,24.1623256413988,9704.74005450653,11.1644158156732,39.0672573469086,33.085,38.715,35.906,60.897,70.395,65.619,84.738640099484,69.961,64.551,3782583.0,35.123,,40.552,28.835,16.308,22.558,14.811,16.8,16.8
2007,HUN,4.58640710945861,20.212,4.19962799344477,12.4661735040902,48.415,8.26654551064546,87.5338264959098,0.451642543810709,70872.6706555283,32.51481864923,62.8987742413114,22.15,27.146,24.696,60.071,68.213,64.077,79.8388198333561,58.568,52.288,4461875.0,17.521,18.026,18.158,13.04,9.936,11.458,7.12,7.406,7.406
